queue_ahead,daily_caller,hour,minute,day_of_week,recent_arrivals,recent_services,avg_service_time,time_since_previous_call,wait_length,hour_sin,hour_cos,minute_sin,minute_cos,day_sin,day_cos,arrival_service_ratio,queue_per_service,estimated_service_load,arrival_minus_service,queue_arrival_ratio
0,1,8,0,4,0,0,863.0,0.0,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,2,8,2,4,1,1,576.0,162.0,0,0.8660254037844387,-0.4999999999999998,0.20791169081775931,0.9781476007338057,-0.433883739117558,-0.9009688679024191,1.0,0.0,576.0,0,0.0
0,3,8,8,4,2,2,420.0,342.0,0,0.8660254037844387,-0.4999999999999998,0.7431448254773941,0.6691306063588582,-0.433883739117558,-0.9009688679024191,1.0,0.0,840.0,0,0.0
0,4,8,9,4,3,3,376.75,73.0,0,0.8660254037844387,-0.4999999999999998,0.8090169943749475,0.5877852522924731,-0.433883739117558,-0.9009688679024191,1.0,0.0,1130.25,0,0.0
0,5,8,11,4,3,3,353.0,93.0,0,0.8660254037844387,-0.4999999999999998,0.9135454576426009,0.4067366430758004,-0.433883739117558,-0.9009688679024191,1.0,0.0,1059.0,0,0.0
0,6,8,22,4,0,0,350.8333333333333,683.0,0,0.8660254037844387,-0.4999999999999998,0.7431448254773945,-0.6691306063588579,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,7,8,23,4,1,1,394.4285714285714,45.0,0,0.8660254037844387,-0.4999999999999998,0.6691306063588583,-0.7431448254773941,-0.433883739117558,-0.9009688679024191,1.0,0.0,394.4285714285714,0,0.0
0,8,8,23,4,2,2,387.75,39.0,0,0.8660254037844387,-0.4999999999999998,0.6691306063588583,-0.7431448254773941,-0.433883739117558,-0.9009688679024191,1.0,0.0,775.5,0,0.0
0,9,8,25,4,3,3,347.22222222222223,71.0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,0.0,1041.6666666666667,0,0.0
0,10,8,27,4,4,4,370.7,170.0,0,0.8660254037844387,-0.4999999999999998,0.3090169943749475,-0.9510565162951535,-0.433883739117558,-0.9009688679024191,1.0,0.0,1482.8,0,0.0
0,11,8,28,4,5,5,349.54545454545456,15.0,0,0.8660254037844387,-0.4999999999999998,0.20791169081775931,-0.9781476007338057,-0.433883739117558,-0.9009688679024191,1.0,0.0,1747.7272727272727,0,0.0
0,12,8,28,4,6,6,339.75,12.0,72,0.8660254037844387,-0.4999999999999998,0.20791169081775931,-0.9781476007338057,-0.433883739117558,-0.9009688679024191,1.0,0.0,2038.5,0,0.0
0,13,8,36,4,3,3,361.3076923076923,459.0,0,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,-0.433883739117558,-0.9009688679024191,1.0,0.0,1083.923076923077,0,0.0
0,14,8,36,4,4,4,339.07142857142856,9.0,0,0.8660254037844387,-0.4999999999999998,-0.587785252292473,-0.8090169943749475,-0.433883739117558,-0.9009688679024191,1.0,0.0,1356.2857142857142,0,0.0
0,15,8,43,4,2,2,365.06666666666666,435.0,0,0.8660254037844387,-0.4999999999999998,-0.9781476007338056,-0.2079116908177598,-0.433883739117558,-0.9009688679024191,1.0,0.0,730.1333333333333,0,0.0
0,16,8,43,4,3,3,359.25,31.0,0,0.8660254037844387,-0.4999999999999998,-0.9781476007338056,-0.2079116908177598,-0.433883739117558,-0.9009688679024191,1.0,0.0,1077.75,0,0.0
0,17,8,46,4,3,3,374.8235294117647,126.0,0,0.8660254037844387,-0.4999999999999998,-0.9945218953682734,0.10452846326765299,-0.433883739117558,-0.9009688679024191,1.0,0.0,1124.4705882352941,0,0.0
0,18,8,47,4,3,3,354.72222222222223,82.0,0,0.8660254037844387,-0.4999999999999998,-0.9781476007338056,0.20791169081775943,-0.433883739117558,-0.9009688679024191,1.0,0.0,1064.1666666666667,0,0.0
0,19,8,53,4,3,3,405.9473684210527,392.0,0,0.8660254037844387,-0.4999999999999998,-0.6691306063588581,0.7431448254773942,-0.433883739117558,-0.9009688679024191,1.0,0.0,1217.8421052631581,0,0.0
0,20,8,54,4,3,3,487.8,34.0,0,0.8660254037844387,-0.4999999999999998,-0.5877852522924734,0.8090169943749473,-0.433883739117558,-0.9009688679024191,1.0,0.0,1463.4,0,0.0
0,21,9,0,4,2,2,446.65,362.0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,-0.433883739117558,-0.9009688679024191,1.0,0.0,893.3,0,0.0
0,22,9,9,4,1,1,443.1,523.0,0,0.7071067811865476,-0.7071067811865475,0.8090169943749475,0.5877852522924731,-0.433883739117558,-0.9009688679024191,1.0,0.0,443.1,0,0.0
0,23,9,12,4,1,1,442.3,196.0,0,0.7071067811865476,-0.7071067811865475,0.9510565162951535,0.30901699437494745,-0.433883739117558,-0.9009688679024191,1.0,0.0,442.3,0,0.0
0,24,9,14,4,2,2,444.75,131.0,0,0.7071067811865476,-0.7071067811865475,0.9945218953682733,0.10452846326765346,-0.433883739117558,-0.9009688679024191,1.0,0.0,889.5,0,0.0
0,25,9,23,4,1,1,456.65,495.0,0,0.7071067811865476,-0.7071067811865475,0.6691306063588583,-0.7431448254773941,-0.433883739117558,-0.9009688679024191,1.0,0.0,456.65,0,0.0
0,26,9,36,4,0,0,464.3,809.0,0,0.7071067811865476,-0.7071067811865475,-0.587785252292473,-0.8090169943749475,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,27,9,48,4,0,0,456.1,735.0,0,0.7071067811865476,-0.7071067811865475,-0.9510565162951536,0.30901699437494723,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,28,9,52,4,1,1,458.65,203.0,0,0.7071067811865476,-0.7071067811865475,-0.743144825477394,0.6691306063588585,-0.433883739117558,-0.9009688679024191,1.0,0.0,458.65,0,0.0
0,29,9,56,4,2,2,468.65,266.0,0,0.7071067811865476,-0.7071067811865475,-0.40673664307580015,0.913545457642601,-0.433883739117558,-0.9009688679024191,1.0,0.0,937.3,0,0.0
0,30,9,58,4,3,3,455.9,115.0,0,0.7071067811865476,-0.7071067811865475,-0.20791169081775898,0.9781476007338057,-0.433883739117558,-0.9009688679024191,1.0,0.0,1367.6999999999998,0,0.0
0,31,10,1,4,3,3,481.55,171.0,0,0.49999999999999994,-0.8660254037844387,0.10452846326765346,0.9945218953682733,-0.433883739117558,-0.9009688679024191,1.0,0.0,1444.65,0,0.0
0,32,10,1,4,4,4,480.9,9.0,0,0.49999999999999994,-0.8660254037844387,0.10452846326765346,0.9945218953682733,-0.433883739117558,-0.9009688679024191,1.0,0.0,1923.6,0,0.0
0,33,10,3,4,4,4,468.85,126.0,0,0.49999999999999994,-0.8660254037844387,0.3090169943749474,0.9510565162951535,-0.433883739117558,-0.9009688679024191,1.0,0.0,1875.4,0,0.0
0,34,10,4,4,5,5,476.6,67.0,0,0.49999999999999994,-0.8660254037844387,0.40673664307580015,0.9135454576426009,-0.433883739117558,-0.9009688679024191,1.0,0.0,2383.0,0,0.0
0,35,10,12,4,2,2,459.4,492.0,0,0.49999999999999994,-0.8660254037844387,0.9510565162951535,0.30901699437494745,-0.433883739117558,-0.9009688679024191,1.0,0.0,918.8,0,0.0
0,36,10,12,4,2,2,464.25,0.0,0,0.49999999999999994,-0.8660254037844387,0.9510565162951535,0.30901699437494745,-0.433883739117558,-0.9009688679024191,1.0,0.0,928.5,0,0.0
0,37,10,27,4,0,0,446.5,872.0,0,0.49999999999999994,-0.8660254037844387,0.3090169943749475,-0.9510565162951535,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,38,10,43,4,0,0,473.4,941.0,0,0.49999999999999994,-0.8660254037844387,-0.9781476007338056,-0.2079116908177598,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0,0.0
0,39,10,50,4,1,1,415.2,448.0,0,0.49999999999999994,-0.8660254037844387,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,0.0,415.2,0,0.0
0,40,10,58,4,1,1,316.3,501.0,0,0.49999999999999994,-0.8660254037844387,-0.20791169081775898,0.9781476007338057,-0.433883739117558,-0.9009688679024191,1.0,0.0,316.3,0,0.0
0,41,11,4,4,1,1,317.95,335.0,0,0.258819045102521,-0.9659258262890682,0.40673664307580015,0.9135454576426009,-0.433883739117558,-0.9009688679024191,1.0,0.0,317.95,0,0.0
0,42,11,8,4,2,2,312.3,223.0,0,0.258819045102521,-0.9659258262890682,0.7431448254773941,0.6691306063588582,-0.433883739117558,-0.9009688679024191,1.0,0.0,624.6,0,0.0
0,43,11,10,4,2,2,319.25,163.0,0,0.258819045102521,-0.9659258262890682,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,1.0,0.0,638.5,0,0.0
0,44,11,16,4,2,2,305.7,305.0,0,0.258819045102521,-0.9659258262890682,0.9945218953682734,-0.10452846326765333,-0.433883739117558,-0.9009688679024191,1.0,0.0,611.4,0,0.0
